bairro,ano,n_mvi
Colégio,2021,6
Colégio,2022,12
Colégio,2023,7
Colégio,2024,18
Complexo do Alemão,2019,19
Complexo do Alemão,2021,6
Complexo do Alemão,2022,4
Complexo do Alemão,2023,2
Complexo do Alemão,2024,1
Copacabana,2019,12
Copacabana,2020,4
Copacabana,2021,4
Copacabana,2022,7
Copacabana,2023,6
Copacabana,2024,3
Cordovil,2019,15
Cordovil,2020,15
Cordovil,2021,6
Cordovil,2022,11
Cordovil,2023,7
Cordovil,2024,15
Cosme Velho,2020,1
Cosme Velho,2021,1
Cosme Velho,2022,2
Cosmos,2019,4
Cosmos,2020,6
Cosmos,2021,7
Cosmos,2022,4
Cosmos,2023,5
Cosmos,2024,4
Costa Barros,2019,35
Costa Barros,2020,33
Costa Barros,2021,18
Costa Barros,2022,22
Costa Barros,2023,25
Costa Barros,2024,30
Curicica,2019,5
Curicica,2020,6
Curicica,2021,5
Curicica,2022,3
Curicica,2023,14
Curicica,2024,6
Del Castilho,2019,8
Del Castilho,2020,2
Del Castilho,2021,3
Del Castilho,2022,9
Del Castilho,2023,3
Del Castilho,2024,2
Deodoro,2019,14
Deodoro,2020,5
Deodoro,2021,5
Deodoro,2022,6
Deodoro,2023,5
Deodoro,2024,3
Encantado,2019,2
Encantado,2020,2
Encantado,2021,7
Encantado,2023,4
Encantado,2024,1
Engenheiro Leal,2019,5
Engenheiro Leal,2020,1
Engenheiro Leal,2021,1
Engenheiro Leal,2022,3
Engenheiro Leal,2023,3
Engenheiro Leal,2024,1
Engenho Novo,2019,18
Engenho Novo,2020,14
Engenho Novo,2021,8
Engenho Novo,2022,5
Engenho Novo,2023,6
Engenho Novo,2024,8
Engenho da Rainha,2019,12
Engenho da Rainha,2020,8
Engenho da Rainha,2021,5
Engenho da Rainha,2022,2
Engenho da Rainha,2023,4
Engenho da Rainha,2024,5
Engenho de Dentro,2019,3
Engenho de Dentro,2020,6
Engenho de Dentro,2021,7
Engenho de Dentro,2022,9
Engenho de Dentro,2023,5
Engenho de Dentro,2024,4
Estácio,2019,8
Estácio,2020,4
Estácio,2021,6
Estácio,2022,7
Estácio,2023,4
Estácio,2024,1
Flamengo,2019,2
Flamengo,2020,3
Flamengo,2021,1
Flamengo,2022,4
Flamengo,2023,2
Flamengo,2024,2
Freguesia (Ilha do Governador),2019,3
Freguesia (Ilha do Governador),2023,1
Freguesia (Ilha do Governador),2024,1
Freguesia (Jacarepaguá),2019,2
Freguesia (Jacarepaguá),2020,1
Freguesia (Jacarepaguá),2021,3
Freguesia (Jacarepaguá),2022,3
Freguesia (Jacarepaguá),2023,10
Freguesia (Jacarepaguá),2024,5
Galeão,2019,8
Galeão,2020,2
Galeão,2021,9
Galeão,2022,3
Galeão,2024,2
Gamboa,2019,3
Gamboa,2020,3
Gamboa,2021,2
Gamboa,2023,1
Gamboa,2024,1
Gardênia Azul,2019,8
Gardênia Azul,2020,8
Gardênia Azul,2021,11
Gardênia Azul,2022,3
Gardênia Azul,2023,18
Gardênia Azul,2024,20
Gericinó,2020,2
Glória,2019,2
Glória,2020,2
Glória,2021,1
Glória,2023,1
Glória,2024,1
Grajaú,2019,1
Grajaú,2020,1
Grajaú,2021,2
Grajaú,2022,7
Grajaú,2023,3
Grajaú,2024,2
Grumari,2020,1
Grumari,2021,2
Grumari,2022,1
Grumari,2024,1
Guadalupe,2019,25
Guadalupe,2020,17
Guadalupe,2021,30
Guadalupe,2022,13
Guadalupe,2023,14
Guadalupe,2024,14
Guaratiba,2019,14
Guaratiba,2020,18
Guaratiba,2021,10
Guaratiba,2022,10
Guaratiba,2023,17
Guaratiba,2024,18
Gávea,2019,3
Gávea,2020,1
Gávea,2023,1
Gávea,2024,3
Higienópolis,2019,2
Higienópolis,2020,2
Higienópolis,2021,3
Higienópolis,2023,2
Honório Gurgel,2019,13
Honório Gurgel,2020,5
Honório Gurgel,2021,5
Honório Gurgel,2022,4
Honório Gurgel,2023,1
Honório Gurgel,2024,3
Humaitá,2019,1
Humaitá,2021,1
Humaitá,2023,3
Inhaúma,2019,14
Inhaúma,2020,8
Inhaúma,2021,6
Inhaúma,2022,12
Inhaúma,2023,10
Inhaúma,2024,7
Inhoaíba,2019,4
Inhoaíba,2020,1
Inhoaíba,2021,1
Inhoaíba,2022,4
Inhoaíba,2023,2
Inhoaíba,2024,5
Ipanema,2019,3
Ipanema,2020,3
Ipanema,2021,4
Ipanema,2022,2
Ipanema,2023,1
Irajá,2019,18
Irajá,2020,9
Irajá,2021,23
Irajá,2022,19
Irajá,2023,28
Irajá,2024,9
Itanhangá,2019,23
Itanhangá,2020,5
Itanhangá,2021,7
Itanhangá,2022,6
Itanhangá,2023,43
Itanhangá,2024,41
Jacarepaguá,2019,31
Jacarepaguá,2020,15
Jacarepaguá,2021,13
Jacarepaguá,2022,16
Jacarepaguá,2023,31
Jacarepaguá,2024,29
Jacarezinho,2019,2
Jacarezinho,2020,1
Jacarezinho,2021,8
Jacarezinho,2022,1
Jacarezinho,2023,3
Jacarezinho,2024,1
Jacaré,2019,16
Jacaré,2020,9
Jacaré,2021,7
Jacaré,2022,3
Jacaré,2023,9
Jacaré,2024,3
Jardim América,2019,9
Jardim América,2020,6
Jardim América,2021,8
Jardim América,2022,7
Jardim América,2023,1
Jardim Carioca,2019,8
Jardim Carioca,2020,1
Jardim Carioca,2021,1
Jardim Carioca,2024,1
Jardim Guanabara,2019,7
Jardim Guanabara,2020,2
Jardim Guanabara,2021,1
Jardim Guanabara,2022,1
Jardim Guanabara,2023,2
Jardim Guanabara,2024,6
Jardim Sulacap,2019,1
Jardim Sulacap,2020,1
Jardim Sulacap,2021,1
Jardim Sulacap,2022,1
Jardim Sulacap,2024,1
Lagoa,2019,2
Lagoa,2022,1
Lagoa,2024,1
Laranjeiras,2020,3
Laranjeiras,2022,1
Laranjeiras,2023,1
Leblon,2019,6
Leblon,2020,2
Leblon,2021,2
Leblon,2022,3
Leblon,2023,7
Leblon,2024,3
Leme,2019,2
Leme,2020,3
Leme,2021,3
Leme,2022,1
Leme,2024,2
Lins de Vasconcelos,2019,13
Lins de Vasconcelos,2020,5
Lins de Vasconcelos,2021,5
Lins de Vasconcelos,2022,3
Lins de Vasconcelos,2023,3
Lins de Vasconcelos,2024,6
Madureira,2019,29
Madureira,2020,21
Madureira,2021,19
Madureira,2022,11
Madureira,2023,28
Madureira,2024,15
Magalhães Bastos,2019,10
Magalhães Bastos,2020,3
Magalhães Bastos,2021,4
Magalhães Bastos,2022,5
Magalhães Bastos,2024,3
Mangueira,2019,4
Mangueira,2020,1
Mangueira,2021,1
Mangueira,2023,3
Mangueira,2024,3
Manguinhos,2019,23
Manguinhos,2020,10
Manguinhos,2021,8
Manguinhos,2022,16
Manguinhos,2023,5
Manguinhos,2024,12
Maracanã,2019,5
Maracanã,2021,1
Maracanã,2022,1
Maracanã,2023,1
Maracanã,2024,1
Marechal Hermes,2019,24
Marechal Hermes,2020,10
Marechal Hermes,2021,5
Marechal Hermes,2022,17
Marechal Hermes,2023,10
Marechal Hermes,2024,14
Maria da Graça,2019,1
Maria da Graça,2020,1
Maria da Graça,2022,2
Maria da Graça,2023,2
Maré,2019,24
Maré,2020,13
Maré,2021,11
Maré,2022,24
Maré,2023,9
Maré,2024,12
Moneró,2019,1
Moneró,2023,1
Moneró,2024,1
Méier,2019,1
Méier,2020,8
Méier,2021,12
Méier,2022,11
Méier,2023,5
Méier,2024,20
Olaria,2019,7
Olaria,2020,8
Olaria,2021,5
Olaria,2022,1
Olaria,2023,3
Olaria,2024,1
Oswaldo Cruz,2019,4
Oswaldo Cruz,2020,5
Oswaldo Cruz,2022,4
Oswaldo Cruz,2023,4
Oswaldo Cruz,2024,2
Paciência,2019,6
Paciência,2020,3
Paciência,2021,5
Paciência,2022,5
Paciência,2023,11
Paciência,2024,5
Padre Miguel,2019,21
Padre Miguel,2020,9
Padre Miguel,2021,1
Padre Miguel,2022,8
Padre Miguel,2023,10
Padre Miguel,2024,5
Parada de Lucas,2019,11
Parada de Lucas,2020,8
Parada de Lucas,2021,8
Parada de Lucas,2022,4
Parada de Lucas,2023,5
Parada de Lucas,2024,3
Parque Anchieta,2019,1
Parque Anchieta,2020,7
Parque Anchieta,2021,4
Parque Anchieta,2022,2
Parque Colúmbia,2020,2
Parque Colúmbia,2022,2
Pavuna,2019,55
Pavuna,2020,31
Pavuna,2021,37
Pavuna,2022,24
Pavuna,2023,29
Pavuna,2024,25
Pechincha,2019,1
Pechincha,2021,1
Pechincha,2023,5
Pechincha,2024,1
Pedra de Guaratiba,2019,2
Pedra de Guaratiba,2021,1
Pedra de Guaratiba,2022,3
Pedra de Guaratiba,2023,2
Pedra de Guaratiba,2024,9
Penha,2019,37
Penha,2020,26
Penha,2021,22
Penha,2022,54
Penha,2023,32
Penha,2024,34
Penha Circular,2019,18
Penha Circular,2020,11
Penha Circular,2021,10
Penha Circular,2022,29
Penha Circular,2023,16
Penha Circular,2024,12
Piedade,2019,16
Piedade,2020,15
Piedade,2021,17
Piedade,2022,9
Piedade,2023,8
Piedade,2024,7
Pilares,2019,20
Pilares,2020,8
Pilares,2021,3
Pilares,2022,7
Pilares,2023,8
Pilares,2024,8
Pitangueiras,2019,3
Pitangueiras,2020,1
Pitangueiras,2022,4
Portuguesa,2019,1
Portuguesa,2021,6
Portuguesa,2022,7
Portuguesa,2023,3
Portuguesa,2024,2
Praça Seca,2019,24
Praça Seca,2020,7
Praça Seca,2021,14
Praça Seca,2022,16
Praça Seca,2023,28
Praça Seca,2024,14
Praça da Bandeira,2019,2
Praça da Bandeira,2020,4
Praça da Bandeira,2021,2
Praça da Bandeira,2022,4
Praça da Bandeira,2023,3
Praça da Bandeira,2024,3
Quintino Bocaiúva,2019,8
Quintino Bocaiúva,2020,2
Quintino Bocaiúva,2021,19
Quintino Bocaiúva,2022,4
Quintino Bocaiúva,2023,7
Quintino Bocaiúva,2024,7
Ramos,2019,18
Ramos,2020,14
Ramos,2021,7
Ramos,2022,30
Ramos,2023,5
Ramos,2024,9
Realengo,2019,67
Realengo,2020,37
Realengo,2021,54
Realengo,2022,55
Realengo,2023,56
Realengo,2024,57
Recreio dos Bandeirantes,2019,17
Recreio dos Bandeirantes,2020,7
Recreio dos Bandeirantes,2021,14
Recreio dos Bandeirantes,2022,7
Recreio dos Bandeirantes,2023,27
Recreio dos Bandeirantes,2024,29
Riachuelo,2020,1
Riachuelo,2021,3
Riachuelo,2023,1
Ricardo de Albuquerque,2019,11
Ricardo de Albuquerque,2020,17
Ricardo de Albuquerque,2021,13
Ricardo de Albuquerque,2022,6
Ricardo de Albuquerque,2023,4
Ricardo de Albuquerque,2024,4
Rio Comprido,2019,12
Rio Comprido,2020,20
Rio Comprido,2021,15
Rio Comprido,2022,15
Rio Comprido,2023,8
Rio Comprido,2024,6
Rocha,2019,3
Rocha,2020,3
Rocha,2021,3
Rocha,2023,1
Rocha Miranda,2019,10
Rocha Miranda,2020,18
Rocha Miranda,2021,9
Rocha Miranda,2022,8
Rocha Miranda,2023,19
Rocha Miranda,2024,8
Rocinha,2019,8
Rocinha,2020,3
Rocinha,2021,1
Rocinha,2022,5
Rocinha,2023,2
Rocinha,2024,1
Sampaio,2019,4
Sampaio,2021,2
Sampaio,2022,2
Sampaio,2024,5
Santa Cruz,2019,25
Santa Cruz,2020,19
Santa Cruz,2021,34
Santa Cruz,2022,26
Santa Cruz,2023,53
Santa Cruz,2024,38
Santa Teresa,2019,22
Santa Teresa,2020,10
Santa Teresa,2021,4
Santa Teresa,2022,2
Santa Teresa,2023,3
Santa Teresa,2024,2
Santo Cristo,2019,6
Santo Cristo,2020,6
Santo Cristo,2021,4
Santo Cristo,2022,2
Santo Cristo,2024,4
Santíssimo,2019,12
Santíssimo,2020,5
Santíssimo,2021,6
Santíssimo,2022,6
Santíssimo,2023,2
Santíssimo,2024,8
Senador Camará,2019,37
Senador Camará,2020,16
Senador Camará,2021,19
Senador Camará,2022,17
Senador Camará,2023,26
Senador Camará,2024,17
Senador Vasconcelos,2019,3
Senador Vasconcelos,2020,1
Senador Vasconcelos,2021,3
Senador Vasconcelos,2022,3
Senador Vasconcelos,2023,2
Senador Vasconcelos,2024,2
Sepetiba,2019,3
Sepetiba,2020,4
Sepetiba,2021,10
Sepetiba,2022,5
Sepetiba,2023,8
Sepetiba,2024,7
São Conrado,2019,2
São Conrado,2021,1
São Conrado,2022,1
São Conrado,2024,1
São Cristóvão,2019,9
São Cristóvão,2020,18
São Cristóvão,2021,3
São Cristóvão,2022,10
São Cristóvão,2023,9
São Cristóvão,2024,9
São Francisco Xavier,2020,1
São Francisco Xavier,2021,1
Tanque,2019,10
Tanque,2020,5
Tanque,2021,3
Tanque,2022,9
Tanque,2023,25
Tanque,2024,20
Taquara,2019,20
Taquara,2020,3
Taquara,2021,17
Taquara,2022,22
Taquara,2023,22
Taquara,2024,37
Tauá,2019,7
Tauá,2020,2
Tauá,2021,1
Tauá,2022,1
Tauá,2023,1
Tauá,2024,3
Tijuca,2019,27
Tijuca,2020,11
Tijuca,2021,18
Tijuca,2022,12
Tijuca,2023,5
Tijuca,2024,7
Todos os Santos,2019,1
Todos os Santos,2022,1
Todos os Santos,2023,1
Todos os Santos,2024,4
Tomás Coelho,2019,9
Tomás Coelho,2020,12
Tomás Coelho,2021,10
Tomás Coelho,2022,14
Tomás Coelho,2023,10
Tomás Coelho,2024,5
Turiaçú,2019,1
Turiaçú,2020,3
Turiaçú,2021,5
Turiaçú,2022,5
Turiaçú,2023,4
Turiaçú,2024,2
Urca,2024,1
Vargem Grande,2019,3
Vargem Grande,2020,7
Vargem Grande,2021,5
Vargem Grande,2022,7
Vargem Grande,2023,21
Vargem Grande,2024,8
Vargem Pequena,2019,3
Vargem Pequena,2020,1
Vargem Pequena,2021,1
Vargem Pequena,2022,1
Vargem Pequena,2023,3
Vargem Pequena,2024,13
Vasco da Gama,2024,1
Vaz Lobo,2019,8
Vaz Lobo,2020,5
Vaz Lobo,2021,2
Vaz Lobo,2022,7
Vaz Lobo,2023,4
Vaz Lobo,2024,5
Vicente de Carvalho,2019,26
Vicente de Carvalho,2020,20
Vicente de Carvalho,2021,13
Vicente de Carvalho,2022,27
Vicente de Carvalho,2023,16
Vicente de Carvalho,2024,18
Vidigal,2019,7
Vidigal,2020,3
Vidigal,2021,1
Vigário Geral,2019,9
Vigário Geral,2020,9
Vigário Geral,2021,7
Vigário Geral,2022,6
Vigário Geral,2023,7
Vigário Geral,2024,3
Vila Isabel,2019,7
Vila Isabel,2020,12
Vila Isabel,2021,10
Vila Isabel,2022,7
Vila Isabel,2023,5
Vila Isabel,2024,17
Vila Kosmos,2019,1
Vila Kosmos,2020,2
Vila Kosmos,2021,1
Vila Kosmos,2022,2
Vila Kosmos,2023,1
Vila Kosmos,2024,4
Vila Militar,2019,2
Vila Militar,2020,1
Vila Militar,2021,1
Vila Militar,2022,1
Vila Militar,2023,1
Vila Valqueire,2020,2
Vila Valqueire,2021,2
Vila Valqueire,2022,1
Vila Valqueire,2023,7
Vila Valqueire,2024,4
Vila da Penha,2019,1
Vila da Penha,2020,1
Vila da Penha,2021,3
Vila da Penha,2022,1
Vila da Penha,2023,3
Vila da Penha,2024,9
Vista Alegre,2019,2
Vista Alegre,2021,1
Vista Alegre,2022,1
Zumbi,2020,1
Zumbi,2021,1
Zumbi,2023,1
Água Santa,2019,18
Água Santa,2020,1
Água Santa,2021,2
Água Santa,2022,1
Água Santa,2023,6
